UN,Country,Population
Russia,"14,34,55,000"
Germany,"8,06,40,000"
France,"6,66,16,416"
United Kingdom,"6,42,31,000"
Italy,"5,97,89,000"
Spain,"4,69,58,000"
Ukraine,"4,54,61,000"
Poland,"3,85,48,000"
Romania,"1,98,58,000"
Netherlands,"1,67,95,000"
Belgium,"1,11,62,000"
Greece,"1,07,58,000"
Portugal,"1,06,09,000"
Czech Republic,"1,05,19,000"
Hungary,"98,94,000"
Sweden,"95,95,000"
Belarus,"94,60,000"
Austria,"84,77,000"
Switzerland,"80,75,000"
Bulgaria,"72,61,000"
Serbia,"72,03,000"
Denmark,"56,12,000"
Finland,"54,36,000"
Slovakia,"54,13,000"
Norway,"50,77,000"
Ireland,"46,62,000"
Croatia,"42,58,000"
Bosnia and Herzegovina,"38,47,000"
Moldova,"34,86,000"
Lithuania,"29,56,000"
Albania,"27,83,000"
Macedonia,"20,66,000"
Slovenia,"20,62,000"
Latvia,"20,11,000"
Kosovo,"18,26,000"
Estonia,"12,83,000"
Montenegro,"6,20,000"
Luxembourg,"5,42,000"
Malta,"4,19,000"
Iceland,"3,24,000"
Andorra,"75,000"
Liechtenstein,"37,000"
Monaco,"36,000"
San Marino,"32,000"
Vatican City,800

